sessionName,time,condition,v_attention1,v_refMovie_1,v_preListOrder_1,v_postListOrder_1,v_listSelectedFrom1,v_movieSelected1,v_moviePosition1,v_clickCount1,v_dragCount1,v_moveDistanceA1,v_moveDistanceC1,v_moveDistanceD1,v_browsingTime1,v_zoomPressed1,q_outc_satisfactionScore1,c_movieInListPos1,v_refMovie_2,v_preListOrder_2,v_postListOrder_2,v_listSelectedFrom2,v_movieSelected2,v_moviePosition2,v_clickCount2,v_dragCount2,v_moveDistanceA2,v_moveDistanceC2,v_moveDistanceD2,v_browsingTime2,v_zoomPressed2,q_outc_satisfactionScore2,c_movieInListPos2,v_refMovie_3,v_preListOrder_3,v_postListOrder_3,v_listSelectedFrom3,v_movieSelected3,v_moviePosition3,v_clickCount3,v_dragCount3,v_moveDistanceA3,v_moveDistanceC3,v_moveDistanceD3,v_browsingTime3,v_zoomPressed3,q_outc_satisfactionScore3,c_movieInListPos3,v_refMovie_4,v_preListOrder_4,v_postListOrder_4,v_listSelectedFrom4,v_movieSelected4,v_moviePosition4,v_clickCount4,v_dragCount4,v_moveDistanceA4,v_moveDistanceC4,v_moveDistanceD4,v_browsingTime4,v_zoomPressed4,q_outc_satisfactionScore4,c_movieInListPos4,v_refMovie_5,v_preListOrder_5,v_postListOrder_5,v_listSelectedFrom5,v_movieSelected5,v_moviePosition5,v_clickCount5,v_dragCount5,v_moveDistanceA5,v_moveDistanceC5,v_moveDistanceD5,v_browsingTime5,v_zoomPressed5,q_outc_satisfactionScore5,c_movieInListPos5,c_moveDistanceAavg,c_moveDistanceCavg,c_moveDistanceDavg,c_clickCountAvg,c_dragCountAvg,c_movieInListPosAvg,c_preferecControl,c_moviePosAvg,v_surveyTime,v_totalTime,v_attention2,q_dem_onlineUsage,q_dem_movieUsage,q_dem_age,c_ageGroup,q_dem_gender,c_dem_genderCat,q_sys_freqUse,q_sys_complex,q_sys_easeUse,q_sys_techNeed,q_sys_funcInteg,q_sys_inconsist,q_sys_learnUse,q_sys_cumbUse,q_sys_confUse,q_sys_learnToUse,c_sys_SUS,q_proc_searchSim,q_proc_decidDiff,q_proc_recImprove,q_proc_control,q_proc_sorting,c_outc_listSatAvg,q_outc_diversity,q_outc_novelty,q_outc_serendipity,q_outc_relevance,q_comment,c_All_IndexAvg,c_Title_IndexAvg,c_Image_IndexAvg,c_Plot_IndexAvg,c_Genre_IndexAvg,c_Stars_IndexAvg,c_Director_IndexAvg,c_Date_IndexAvg,c_Tag_IndexAvg,c_SVD_IndexAvg,c_Baseline_IndexAvg,c_All_Picked,c_Title_Picked,c_Image_Picked,c_Plot_Picked,c_Genre_Picked,c_Stars_Picked,c_Director_Picked,c_Date_Picked,c_Tag_Picked,c_SVD_Picked,c_Baseline_Picked
KGCC8JR1Z1U7W,2020-10-16T13:19:55.687Z,6,FALSE,1214.json,All-Plot-Image-Genre-Date-Tag-Stars-Title-Director-Baseline-SVD,Genre-All-Plot-Tag-Image-Date-SVD-Stars-Director-Title-Baseline,Genre,103249.json,0,16,0,16,16,0,110.52,3,5,2,115149.json,Genre-All-Plot-Tag-Image-Date-SVD-Stars-Director-Title-Baseline,Genre-All-Plot-Tag-Image-Date-SVD-Stars-Director-Title-Baseline,Plot,88140.json,2,0,0,0,0,0,14.66,0,5,1,91535.json,Genre-Plot-All-Tag-Image-Date-SVD-Stars-Director-Title-Baseline,Plot-Genre-All-Tag-Image-Date-SVD-Stars-Director-Title-Baseline,Plot,165.json,0,1,0,1,1,0,8.72,0,3,4,1036.json,Genre-Plot-All-Tag-Image-Date-SVD-Stars-Director-Title-Baseline,Genre-Plot-All-Tag-Image-Date-SVD-Stars-Director-Title-Baseline,Plot,589.json,1,0,0,0,0,0,8.31,0,4,4,5400.json,Plot-Genre-All-Tag-Image-Date-SVD-Stars-Director-Title-Baseline,Plot-Genre-All-Tag-Image-Date-SVD-Stars-Director-Title-Baseline,Plot,135143.json,0,0,0,0,0,0,646.76,0,3,3,3.4,3.4,0,3.4,0,2.8,2,0.6,96.31,986.8,TRUE,1,7,33,2,Male,2,5,3,4,3,3,2,3,3,3,1,65,2,2,3,4,1,4,4,4,4,3,Looks like netflix i dont know if that was the intended solution.,8,45,20,5,2,35,40,25,15,30,50,0,0,0,4,1,0,0,0,0,0,0
KGCA3X7QEP2HC,2020-10-16T13:20:14.956Z,6,FALSE,110102.json,Image-Baseline-All-Genre-Stars-Plot-Tag-Title-SVD-Director-Date,Baseline-All-Genre-Image-Stars-Plot-Tag-Title-SVD-Director-Date,Genre,135133.json,2,9,0,9,9,0,60.42,0,5,2,1036.json,Genre-Baseline-All-Image-Stars-Plot-Tag-Title-SVD-Director-Date,Genre-Baseline-All-Image-Stars-Plot-Tag-Title-SVD-Director-Date,Plot,1573.json,5,0,0,0,0,0,22.07,0,4,1,1197.json,Genre-Baseline-Plot-All-Image-Stars-Tag-Title-SVD-Director-Date,Genre-Baseline-Plot-All-Image-Stars-Tag-Title-SVD-Director-Date,Genre,3489.json,0,0,0,0,0,0,6.37,0,5,0,3033.json,Genre-Baseline-Plot-All-Image-Stars-Tag-Title-SVD-Director-Date,Genre-Baseline-Plot-All-Image-Stars-Tag-Title-SVD-Director-Date,Genre,2011.json,0,0,0,0,0,0,9.76,0,4,4,1721.json,Genre-Baseline-Plot-All-Image-Stars-Tag-Title-SVD-Director-Date,Genre-Baseline-Plot-All-Image-Stars-Tag-Title-SVD-Director-Date,Plot,3755.json,2,0,0,0,0,0,15.6,0,5,3,1.8,1.8,0,1.8,0,2,2,1.8,63.04,329.82,TRUE,1,3,35,3,Male,2,5,1,5,1,5,2,5,1,5,1,97.5,1,1,4,5,5,4.6,5,5,5,4,,12,35,18,16,2,23,45,50,30,40,4,0,0,0,2,3,0,0,0,0,0,0
KGCA501J9M661,2020-10-16T13:20:57.633Z,6,TRUE,924.json,Genre-All-Tag-Director-Baseline-Title-Stars-Date-Image-SVD-Plot,Director-SVD-Tag-Baseline-Title-Stars-Date-Image-All-Genre-Plot,SVD,1208.json,1,24,0,24,24,0,179.29,0,3,1,4246.json,SVD-Director-Tag-Baseline-Title-Stars-Date-Image-All-Genre-Plot,Director-SVD-Genre-Tag-Title-Stars-Baseline-Plot-All-Image-Date,Director,5673.json,0,18,0,18,18,0,153.67,0,3,4,3072.json,Director-SVD-Tag-Title-Baseline-Stars-Genre-All-Image-Date-Plot,Tag-Stars-SVD-Baseline-All-Image-Director-Title-Genre-Plot-Date,Tag,357.json,0,28,0,28,28,0,145.42,1,4,1,3949.json,SVD-Tag-Director-Stars-Baseline-Title-Genre-All-Image-Plot-Date,All-SVD-Tag-Stars-Director-Genre-Plot-Image-Date-Title-Baseline,All,2908.json,0,21,1,24,21,3,107.22,1,4,1,1136.json,SVD-Tag-Director-Stars-All-Baseline-Genre-Title-Image-Plot-Date,Stars-Date-Director-Baseline-All-Genre-Tag-Title-Plot-Image-SVD,Stars,1079.json,0,6,3,28,6,22,95.41,1,2,4,24.4,19.4,5,19.4,0.8,2.2,2,0.2,81.29,1015.29,TRUE,1,7,32,2,Female,1,3,4,3,1,3,2,4,3,4,2,62.5,3,4,3,3,2,3.2,4,4,4,2,Interesting,24,31,37,40,29,14,12,35,13,15,25,1,0,0,0,0,1,1,0,1,1,0
KGCA4URP2K80B,2020-10-16T13:20:58.401Z,6,FALSE,57.json,Title-Date-Image-Stars-SVD-Director-Baseline-Tag-Plot-Genre-All,Title-Image-Stars-Date-Director-SVD-Baseline-Tag-Plot-Genre-All,Image,923.json,1,87,0,87,87,0,152.45,1,4,0,39292.json,Image-Title-Stars-Date-Director-SVD-Baseline-Tag-Plot-Genre-All,Image-Title-Stars-Date-Director-SVD-Baseline-Tag-Plot-Genre-All,Image,3068.json,0,0,0,0,0,0,5.7,1,3,2,1030.json,Image-Title-Stars-Date-Director-SVD-Baseline-Tag-Plot-Genre-All,Image-Title-Stars-Date-Director-SVD-Baseline-Tag-Plot-Genre-All,SVD,1010.json,5,0,0,0,0,0,27.99,1,3,1,1278.json,Image-Title-Stars-SVD-Date-Director-Baseline-Tag-Plot-Genre-All,Image-Title-Stars-SVD-Date-Director-Baseline-Tag-Plot-Genre-All,Title,273.json,1,0,0,0,0,0,6.08,1,3,1,1207.json,Image-Title-Stars-SVD-Date-Director-Baseline-Tag-Plot-Genre-All,Image-Title-Stars-SVD-Date-Director-Baseline-Tag-Plot-Genre-All,Image,550.json,0,0,0,0,0,0,12.29,1,3,0,17.4,17.4,0,17.4,0,0.8,2,1.4,264.88,790.83,TRUE,2,2,56,5,Female,1,3,2,3,3,4,2,3,3,4,3,60,3,4,3,2,3,3.2,4,3,4,3,good. I gain more knowledge.,50,4,1,40,45,10,22,17,35,21,30,0,1,3,0,0,0,0,0,0,1,0
KGCA5LJ5N3J8A,2020-10-16T13:21:01.760Z,6,FALSE,2124.json,All-Genre-Title-Baseline-Stars-Director-Image-Date-Tag-SVD-Plot,All-Genre-Title-Baseline-Stars-Director-Image-Date-Tag-SVD-Plot,All,3083.json,0,0,0,0,0,0,14.45,0,4,4,157296.json,All-Genre-Title-Baseline-Stars-Director-Image-Date-Tag-SVD-Plot,All-Genre-Title-Baseline-Stars-Director-Image-Date-Tag-SVD-Plot,All,2236.json,0,0,0,0,0,0,14.31,0,4,3,2132.json,All-Genre-Title-Baseline-Stars-Director-Image-Date-Tag-SVD-Plot,All-Genre-Title-Baseline-Stars-Director-Image-Date-Tag-SVD-Plot,All,80463.json,0,0,0,0,0,0,7.63,0,3,0,4085.json,All-Genre-Title-Baseline-Stars-Director-Image-Date-Tag-SVD-Plot,All-Genre-Title-Baseline-Stars-Director-Image-Date-Tag-SVD-Plot,All,420.json,0,0,0,0,0,0,5.25,0,3,1,1147.json,All-Genre-Title-Baseline-Stars-Director-Image-Date-Tag-SVD-Plot,All-Genre-Title-Baseline-Stars-Director-Image-Date-Tag-SVD-Plot,All,5669.json,0,0,0,0,0,0,8.62,0,3,1,0,0,0,0,0,1.8,0,0,104.63,396.59,TRUE,2,2,30,2,Female,1,4,3,4,3,4,3,4,3,4,3,62.5,5,4,3,4,5,3.4,4,3,4,5,good,0,10,30,50,5,20,25,35,40,45,15,5,0,0,0,0,0,0,0,0,0,0
KGCA4VSZ6TWPY,2020-10-16T13:21:06.164Z,6,FALSE,109487.json,Director-Genre-Stars-Plot-Baseline-SVD-Image-Tag-All-Title-Date,Director-Tag-SVD-Genre-Plot-Baseline-Stars-Date-All-Title-Image,Director,107406.json,0,15,2,17,15,2,94.01,2,4,3,58559.json,Director-Tag-SVD-Genre-Plot-Baseline-Stars-Date-All-Title-Image,Tag-Director-SVD-Genre-Baseline-Stars-Plot-Date-All-Title-Image,Director,79132.json,1,3,0,3,3,0,35.67,0,5,1,79132.json,Director-Tag-SVD-Genre-Baseline-Plot-Stars-Date-All-Title-Image,SVD-Tag-Director-Genre-Plot-Date-Baseline-Image-Stars-All-Title,SVD,112556.json,0,9,0,9,9,0,52.98,0,2,2,115713.json,Director-Tag-SVD-Genre-Plot-Baseline-Date-Stars-All-Image-Title,Tag-Director-SVD-Genre-Plot-Baseline-Date-Stars-All-Image-Title,Tag,107406.json,0,1,0,1,1,0,30.71,0,5,2,107406.json,Tag-Director-SVD-Genre-Plot-Baseline-Date-Stars-All-Image-Title,SVD-Director-Tag-Genre-Plot-Baseline-Stars-Date-All-Image-Title,Tag,198.json,2,4,0,4,4,0,39.11,0,4,1,6.8,6.4,0.4,6.4,0.4,1.8,2,0.6,113.32,541.37,TRUE,2,1,32,2,Male,2,5,1,5,1,5,1,5,1,5,1,100,1,1,3,3,4,4,5,5,5,5,Found a movie I would like to check out later.,41,48,45,22,15,32,5,32,4,6,25,0,0,0,0,0,0,2,0,2,1,0
KGCA5JDY6DPAU,2020-10-16T13:21:14.692Z,6,FALSE,56587.json,All-Baseline-Plot-Tag-Date-SVD-Genre-Director-Title-Image-Stars,All-Baseline-Plot-Tag-Date-SVD-Genre-Director-Title-Image-Stars,Stars,382.json,10,0,0,0,0,0,38.84,2,4,3,6874.json,Stars-All-Baseline-Plot-Tag-Date-SVD-Genre-Director-Title-Image,Stars-All-Baseline-Plot-Tag-Date-SVD-Genre-Director-Title-Image,Plot,63113.json,3,0,0,0,0,0,5.82,1,4,2,158238.json,Stars-Plot-All-Baseline-Tag-Date-SVD-Genre-Director-Title-Image,Stars-Plot-All-Baseline-Tag-Date-SVD-Genre-Director-Title-Image,Stars,8533.json,0,0,0,0,0,0,4.23,1,4,0,1017.json,Stars-Plot-All-Baseline-Tag-Date-SVD-Genre-Director-Title-Image,Stars-Plot-All-Baseline-Tag-Date-SVD-Genre-Director-Title-Image,All,711.json,2,0,0,0,0,0,6.13,1,4,0,92259.json,Stars-All-Plot-Baseline-Tag-Date-SVD-Genre-Director-Title-Image,Stars-All-Plot-Baseline-Tag-Date-SVD-Genre-Director-Title-Image,Stars,8969.json,0,0,0,0,0,0,10.1,1,3,0,0,0,0,0,0,1,0,3,62.65,375.63,TRUE,1,3,30,2,Female,1,4,4,4,4,4,4,4,4,4,4,50,4,4,4,3,4,3.8,4,4,4,4,none,6,44,49,9,34,10,39,24,19,29,12,1,0,0,1,0,3,0,0,0,0,0
KGCA5US487U3M,2020-10-16T13:21:18.933Z,6,FALSE,59315.json,Director-Date-Baseline-Plot-Genre-Tag-Title-SVD-All-Image-Stars,Director-Genre-Plot-Tag-SVD-Date-Title-Stars-Baseline-All-Image,Director,77561.json,0,24,0,24,24,0,134.17,2,5,0,1.json,Director-Genre-Plot-Tag-SVD-Date-Title-Stars-Baseline-All-Image,Director-Genre-Plot-Tag-SVD-Date-Title-Stars-Baseline-All-Image,Director,3114.json,0,0,0,0,0,0,15.52,0,5,0,8533.json,Director-Genre-Plot-Tag-SVD-Date-Title-Stars-Baseline-All-Image,Director-Genre-Plot-Tag-SVD-Date-Title-Stars-Baseline-All-Image,Director,7151.json,0,0,0,0,0,0,16.06,0,5,1,1982.json,Director-Genre-Plot-Tag-SVD-Date-Title-Stars-Baseline-All-Image,Director-Genre-Plot-Tag-SVD-Date-Title-Stars-Baseline-All-Image,Plot,4238.json,2,0,0,0,0,0,10.89,0,5,1,231.json,Director-Genre-Plot-Tag-SVD-Date-Title-Stars-Baseline-All-Image,Director-Genre-Plot-Tag-SVD-Date-Title-Stars-Baseline-All-Image,Director,785.json,0,0,0,0,0,0,8.6,0,5,1,4.8,4.8,0,4.8,0,0.6,2,0.4,94.51,426.07,TRUE,1,2,44,3,Female,1,5,1,5,1,5,1,5,1,5,1,100,1,1,5,5,5,5,5,5,5,5,none,45,30,50,10,5,35,0,25,15,20,40,0,0,0,1,0,0,4,0,0,0,0
KGCA4OJZGHUGI,2020-10-16T13:21:37.169Z,6,TRUE,541.json,Date-Image-Title-Baseline-All-SVD-Plot-Stars-Director-Tag-Genre,All-SVD-Date-Genre-Stars-Title-Plot-Director-Tag-Image-Baseline,All,64497.json,0,28,0,28,28,0,258.5,0,3,1,3702.json,All-SVD-Date-Genre-Stars-Title-Plot-Director-Tag-Image-Baseline,All-Genre-SVD-Stars-Date-Title-Plot-Director-Tag-Baseline-Image,All,122882.json,0,4,0,4,4,0,77.28,0,4,0,65514.json,All-SVD-Genre-Date-Stars-Title-Plot-Director-Tag-Image-Baseline,Plot-Tag-All-SVD-Genre-Date-Stars-Title-Director-Image-Baseline,Plot,31878.json,0,13,0,13,13,0,103.5,0,1,0,2951.json,All-SVD-Genre-Date-Plot-Stars-Title-Tag-Director-Image-Baseline,All-Genre-SVD-Plot-Stars-Title-Tag-Director-Image-Baseline-Date,All,1201.json,0,8,0,8,8,0,64.08,0,3,0,2140.json,All-SVD-Genre-Plot-Stars-Date-Title-Tag-Director-Image-Baseline,Tag-All-SVD-Plot-Genre-Date-Title-Director-Baseline-Image-Stars,Tag,2968.json,0,14,0,14,14,0,98.47,0,3,1,13.4,13.4,0,13.4,0,0.4,2,0,123.81,1136.79,TRUE,1,2,53,4,Male,2,3,1,5,1,3,3,5,3,5,1,80,3,3,3,3,2,2.8,3,3,2,2,none,3,28,45,18,13,27,36,26,23,10,46,3,0,0,1,0,0,0,0,1,0,0
KGCA6H7RYEHGC,2020-10-16T13:21:48.598Z,6,FALSE,51412.json,Date-Title-Stars-Director-SVD-Plot-Tag-Baseline-All-Image-Genre,Date-Title-Stars-Director-SVD-Plot-Tag-Baseline-All-Image-Genre,SVD,8640.json,4,0,0,0,0,0,20.5,1,3,2,6535.json,SVD-Date-Title-Stars-Director-Plot-Tag-Baseline-All-Image-Genre,SVD-Date-Title-Stars-Director-Plot-Tag-Baseline-All-Image-Genre,Date,6541.json,1,0,0,0,0,0,12.18,1,2,3,1610.json,Date-SVD-Title-Stars-Director-Plot-Tag-Baseline-All-Image-Genre,Date-SVD-Title-Stars-Director-Plot-Tag-Baseline-All-Image-Genre,Date,4673.json,0,0,0,0,0,0,13.77,1,4,2,101864.json,Date-SVD-Title-Stars-Director-Plot-Tag-Baseline-All-Image-Genre,Date-SVD-Title-Stars-Director-Plot-Tag-Baseline-All-Image-Genre,Date,103249.json,0,0,0,0,0,0,15.19,1,4,3,6664.json,Date-SVD-Title-Stars-Director-Plot-Tag-Baseline-All-Image-Genre,Date-SVD-Title-Stars-Director-Plot-Tag-Baseline-All-Image-Genre,Stars,122904.json,3,0,0,0,0,0,16.17,1,4,3,0,0,0,0,0,2.6,0,1.6,104.2,361.21,TRUE,2,2,34,2,Female,1,4,3,4,2,3,4,2,3,3,4,50,3,5,4,2,3,3.4,2,3,4,3,nope,40,9,45,25,50,14,19,1,30,7,35,0,0,0,0,0,1,0,3,0,1,0
KGCA92MZ4EKAQ,2020-10-16T13:23:49.751Z,6,FALSE,86644.json,Date-Director-SVD-Tag-Plot-Baseline-Title-Stars-All-Image-Genre,Director-Date-SVD-Tag-Plot-Baseline-Title-Stars-All-Image-Genre,Director,46335.json,0,1,0,1,1,0,36.73,0,5,0,4896.json,Director-Date-SVD-Tag-Plot-Baseline-Title-Stars-All-Image-Genre,Director-Date-SVD-Tag-Plot-Baseline-Title-Stars-All-Image-Genre,Date,5009.json,1,0,0,0,0,0,32.53,0,4,1,77561.json,Date-Director-SVD-Tag-Plot-Baseline-Title-Stars-All-Image-Genre,Date-Director-SVD-Tag-Plot-Baseline-Title-Stars-All-Image-Genre,Director,87430.json,1,0,0,0,0,0,23.72,1,5,1,86332.json,Director-Date-SVD-Tag-Plot-Baseline-Title-Stars-All-Image-Genre,Director-Date-SVD-Tag-Plot-Baseline-Title-Stars-All-Image-Genre,Director,45722.json,0,0,0,0,0,0,24.55,1,5,4,110102.json,Director-Date-SVD-Tag-Plot-Baseline-Title-Stars-All-Image-Genre,Director-Date-SVD-Tag-Plot-Baseline-Title-Stars-All-Image-Genre,Director,122920.json,0,0,0,0,0,0,22.45,0,5,0,0.2,0.2,0,0.2,0,1.2,2,0.4,99.14,517.06,FALSE,1,3,39,3,Female,1,4,3,2,3,2,4,3,2,3,4,45,3,5,3,4,3,4.8,3,4,3,2,this is nice survey,40,30,45,20,50,35,1,4,15,10,25,0,0,0,0,0,0,4,1,0,0,0
KGCAC2S8N58B3,2020-10-16T13:26:06.660Z,6,FALSE,45720.json,Title-Genre-Image-Director-All-SVD-Stars-Baseline-Tag-Plot-Date,SVD-Tag-Genre-Title-Image-Director-Date-Stars-All-Plot-Baseline,SVD,49286.json,0,23,0,23,23,0,256.85,1,4,0,4876.json,SVD-Tag-Genre-Title-Image-Director-Date-Stars-All-Plot-Baseline,Tag-SVD-Genre-Image-Director-All-Title-Stars-Date-Baseline-Plot,Tag,3409.json,0,12,0,12,12,0,81.48,1,4,3,3826.json,Tag-SVD-Genre-Image-Director-Title-All-Stars-Date-Baseline-Plot,SVD-Genre-Image-Director-Tag-All-Plot-Stars-Date-Title-Baseline,SVD,1499.json,0,11,0,11,11,0,63.98,1,3,2,1022.json,SVD-Genre-Tag-Image-Director-All-Title-Stars-Date-Plot-Baseline,Tag-SVD-Genre-Director-All-Title-Image-Plot-Baseline-Stars-Date,Tag,588.json,0,15,0,15,15,0,57.72,1,5,2,72641.json,SVD-Tag-Genre-Director-Image-All-Title-Stars-Plot-Date-Baseline,SVD-Tag-Director-Image-Stars-Plot-Date-Baseline-Title-All-Genre,SVD,70293.json,0,2,4,25,2,23,65.58,1,4,2,17.2,12.6,4.6,12.6,0.8,1.8,2,0,110.68,922.22,TRUE,1,2,36,3,Female,1,4,1,5,1,4,1,5,1,4,1,92.5,1,3,4,4,4,4,3,5,5,4,It was okay. I thought there was a lot to do,31,31,18,37,17,34,17,38,6,2,44,0,0,0,0,0,0,0,0,2,3,0
KGCACT6A5ENCB,2020-10-16T13:26:38.259Z,6,FALSE,69122.json,Image-Title-Genre-Date-Plot-Stars-Baseline-Director-Tag-All-SVD,SVD-Tag-Genre-Plot-Stars-Date-Image-Baseline-Director-Title-All,All,54503.json,10,0,7,34,0,34,100.16,0,4,2,54503.json,All-SVD-Tag-Genre-Plot-Stars-Date-Image-Baseline-Director-Title,SVD-Tag-Genre-Plot-Title-Stars-Image-Date-Baseline-Director-All,Stars,4161.json,5,0,6,22,0,22,77.8,0,4,0,4161.json,SVD-Tag-Stars-Genre-Plot-All-Date-Image-Title-Baseline-Director,SVD-Tag-Genre-Stars-Plot-All-Date-Image-Title-Baseline-Director,Tag,6367.json,1,1,0,1,1,0,30.68,0,4,1,6367.json,SVD-Tag-Stars-Genre-Plot-All-Date-Image-Title-Baseline-Director,SVD-Tag-Genre-Stars-Plot-Date-Image-Title-All-Baseline-Director,Baseline,1092.json,9,4,0,4,4,0,33.81,0,4,4,1092.json,SVD-Tag-Genre-Stars-Plot-All-Date-Baseline-Image-Title-Director,SVD-Tag-Genre-Plot-Stars-All-Date-Baseline-Image-Title-Director,Stars,3020.json,4,3,0,3,3,0,33.55,0,4,0,12.8,1.6,11.2,1.6,2.6,1.4,1,5.8,91.55,468.44,TRUE,1,7,39,3,Female,1,4,1,5,1,4,1,5,1,5,1,95,1,1,4,5,4,4,3,5,5,4,Thank you,38,37,33,17,10,19,47,29,5,0,40,1,0,0,0,0,2,0,0,1,0,1
KGCAIF9WD8LLL,2020-10-16T13:30:54.653Z,6,FALSE,95441.json,Director-Stars-Genre-Tag-Title-Image-Baseline-All-Plot-Date-SVD,Director-Stars-Genre-Tag-Title-Image-Baseline-All-Plot-Date-SVD,Director,6936.json,0,0,0,0,0,0,9.03,0,5,0,6155.json,Director-Stars-Genre-Tag-Title-Image-Baseline-All-Plot-Date-SVD,Director-Stars-Genre-Tag-Title-Image-Baseline-All-Plot-Date-SVD,Director,4025.json,0,0,0,0,0,0,6.27,0,5,1,2959.json,Director-Stars-Genre-Tag-Title-Image-Baseline-All-Plot-Date-SVD,Director-Stars-Genre-Tag-Title-Image-Baseline-All-Plot-Date-SVD,Tag,3535.json,3,0,0,0,0,0,15.27,0,5,0,4776.json,Director-Stars-Tag-Genre-Title-Image-Baseline-All-Plot-Date-SVD,Director-Stars-Tag-Genre-Title-Image-Baseline-All-Plot-Date-SVD,Tag,48516.json,2,0,0,0,0,0,11.5,0,4,0,34162.json,Director-Tag-Stars-Genre-Title-Image-Baseline-All-Plot-Date-SVD,Director-Tag-Stars-Genre-Title-Image-Baseline-All-Plot-Date-SVD,Tag,8528.json,1,0,0,0,0,0,6.31,0,4,1,0,0,0,0,0,0.4,0,1.2,78,335.41,TRUE,1,2,30,2,Female,1,5,1,5,5,5,1,5,1,5,1,90,1,1,5,5,5,4.6,5,5,5,5,Fun Study,35,20,25,40,12,6,0,45,12,50,30,0,0,0,0,0,0,2,0,3,0,0
KGCAIQ0GJ6ACB,2020-10-16T13:31:09.843Z,6,FALSE,103141.json,Image-Plot-Tag-Date-Genre-Director-Stars-All-Baseline-Title-SVD,Image-Plot-Tag-Date-Genre-Director-Stars-All-Baseline-Title-SVD,Image,78499.json,0,0,0,0,0,0,209.56,1,5,0,1327.json,Image-Plot-Tag-Date-Genre-Director-Stars-All-Baseline-Title-SVD,Image-Plot-Tag-Date-Genre-Director-Stars-All-Baseline-Title-SVD,Image,1223.json,0,0,0,0,0,0,16.87,0,5,0,3785.json,Image-Plot-Tag-Date-Genre-Director-Stars-All-Baseline-Title-SVD,Image-Plot-Tag-Date-Genre-Director-Stars-All-Baseline-Title-SVD,Image,45728.json,0,0,0,0,0,0,31.19,0,4,0,2759.json,Image-Plot-Tag-Date-Genre-Director-Stars-All-Baseline-Title-SVD,Image-Plot-Tag-Date-Genre-Director-Stars-All-Baseline-Title-SVD,Plot,4008.json,1,0,0,0,0,0,29.04,0,4,0,1293.json,Image-Plot-Tag-Date-Genre-Director-Stars-All-Baseline-Title-SVD,Image-Plot-Tag-Date-Genre-Director-Stars-All-Baseline-Title-SVD,Plot,4008.json,1,0,0,0,0,0,26.87,0,4,1,0,0,0,0,0,0.2,0,0.4,87,619.51,TRUE,2,1,25,2,Female,1,4,3,4,5,4,4,3,4,5,4,50,3,4,5,4,3,4.4,4,5,4,3,nice,35,45,0,5,20,30,25,15,10,50,40,0,0,3,2,0,0,0,0,0,0,0
KGCAHREWTJ762,2020-10-16T13:31:13.791Z,6,FALSE,2121.json,Plot-Genre-All-Date-Title-Baseline-Tag-Stars-Director-Image-SVD,Plot-Genre-All-Date-Title-Baseline-Tag-Stars-Director-Image-SVD,Title,2407.json,4,0,0,0,0,0,18.96,1,4,2,2124.json,Title-Plot-Genre-All-Date-Baseline-Tag-Stars-Director-Image-SVD,Title-Plot-Genre-All-Date-Baseline-Tag-Stars-Director-Image-SVD,Title,3755.json,0,0,0,0,0,0,316.29,0,5,1,33679.json,Title-Plot-Genre-All-Date-Baseline-Tag-Stars-Director-Image-SVD,Title-Plot-Genre-All-Date-Baseline-Tag-Stars-Director-Image-SVD,Stars,4161.json,7,0,0,0,0,0,71.14,0,3,0,1201.json,Title-Plot-Genre-All-Date-Stars-Baseline-Tag-Director-Image-SVD,Title-Plot-Genre-All-Date-Stars-Baseline-Tag-Director-Image-SVD,Baseline,106489.json,6,0,0,0,0,0,96.28,0,4,4,80549.json,Title-Plot-Genre-All-Baseline-Date-Stars-Tag-Director-Image-SVD,Title-Plot-Genre-All-Baseline-Date-Stars-Tag-Director-Image-SVD,Genre,6287.json,2,0,0,0,0,0,10.29,0,4,2,0,0,0,0,0,1.8,0,3.8,282.33,1304.19,FALSE,2,2,27,2,Male,2,4,5,4,3,1,2,1,3,2,4,37.5,3,5,4,2,1,4,2,3,3,5,THANK YOU,14,4,45,4,9,32,40,20,32,50,25,0,2,0,0,1,1,0,0,0,0,1
